公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投<br>資比率(%),year,market,出表日期,資料年月,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1220,台榮,17.82,279.76,520.82,379.0,105.94,4.05,90.12,4.69,77.82,2.95,0.89,6.13,7.55,13.37,6.84,1.02,130.42,110.71,6.04,109,上市,,,,,,,,,,,,,
1225,福懋油,51.48,159.19,144.02,99.22,20.63,7.41,49.25,8.02,45.51,3.59,1.32,5.71,11.32,25.75,4.09,1.72,18.09,76.23,3.8,109,上市,,,,,,,,,,,,,
1227,佳格,35.25,449.06,235.89,160.32,84.54,5.41,67.46,5.67,64.37,7.39,1.29,12.37,18.62,46.87,9.45,3.54,27.13,97.0,0.0,109,上市,,,,,,,,,,,,,
1229,聯華,20.61,1029.79,82.2,65.37,56.34,6.54,55.81,4.14,88.16,1.89,0.17,6.93,8.53,28.34,36.67,2.43,23.75,71.94,1.19,109,上市,,,,,,,,,,,,,
1231,聯華食,53.92,153.31,163.02,102.67,2820.70,4.97,73.44,5.01,72.85,2.56,1.08,8.73,17.76,46.45,7.78,3.74,42.83,75.73,8.73,109,上市,,,,,,,,,,,,,
1232,大統益,26.9,604.46,359.62,268.02,258.12,17.17,21.25,10.95,33.33,23.61,2.87,21.84,30.15,103.28,7.58,8.08,140.6,129.72,14.82,109,上市,,,,,,,,,,,,,
1233,天仁,38.19,168.25,132.11,88.77,11.60,8.34,43.76,2.91,125.42,2.09,0.77,2.55,3.68,7.74,3.01,0.63,40.62,108.91,4.29,109,上市,,,,,,,,,,,,,
1234,黑松,18.65,328.69,419.03,127.45,82.50,12.98,28.12,1.27,287.40,1.46,0.41,4.01,4.95,25.76,9.67,2.22,82.22,18.65,4.4,109,上市,,,,,,,,,,,,,
1235,興泰,28.08,1792.08,282.8,281.91,3.44,0.56,651.78,4.12,88.59,0.46,0.02,2.12,2.35,6.74,83.53,0.65,12.1,748.02,2.42,109,上市,,,,,,,,,,,,,
1236,宏亞,41.84,149.28,127.18,71.02,1.03,4.10,89.02,4.33,84.29,1.1,0.6,0.17,0.01,0.02,0.01,0.0,38.7,141.18,4.65,109,上市,,,,,,,,,,,,,
1256,鮮活果汁-KY,24.93,180.45,222.22,171.44,200.96,11.85,30.80,7.03,51.92,2.24,1.04,23.29,32.85,301.16,22.32,22.99,123.13,147.3,19.33,109,上市,,,,,,,,,,,,,
1301,台塑,30.62,473.61,242.67,210.51,19.64,12.60,28.96,8.97,40.69,2.16,0.38,4.3,5.88,37.96,10.78,3.15,46.07,100.76,0.59,109,上市,,,,,,,,,,,,,
1303,南亞,39.02,267.97,174.2,136.52,19.07,5.65,64.60,5.65,64.60,1.66,0.48,4.92,7.55,38.38,9.84,3.24,34.73,86.15,3.03,109,上市,,,,,,,,,,,,,
1304,台聚,36.99,277.85,224.65,184.8,3272.03,6.82,53.51,8.62,42.34,2.16,0.67,7.89,12.93,59.88,11.32,2.25,85.14,78.88,10.83,109,上市,,,,,,,,,,,,,
1305,華夏,25.83,175.31,264.54,208.14,294.13,8.12,44.95,7.75,47.09,2.14,1.05,13.71,18.84,39.13,13.05,2.95,94.04,124.86,8.83,109,上市,,,,,,,,,,,,,
1307,三芳,48.68,197.5,237.93,191.57,8.23,6.53,55.89,3.60,101.38,1.4,0.55,1.68,2.7,8.65,2.58,0.55,46.14,93.84,7.05,109,上市,,,,,,,,,,,,,
1308,亞聚,28.28,472.86,200.4,170.86,3121.87,7.65,47.71,13.09,27.88,1.75,0.34,6.73,9.88,22.08,19.35,1.9,194.59,155.17,12.78,109,上市,,,,,,,,,,,,,
1309,台達化,31.26,340.83,273.81,235.39,11917.31,6.97,52.36,16.64,21.93,7.29,1.8,22.45,36.03,73.17,12.39,5.58,140.37,552.16,24.78,109,上市,,,,,,,,,,,,,
1310,台苯,17.18,197.03,203.49,153.51,80.91,9.37,38.95,18.05,20.22,2.05,0.89,3.2,3.94,7.0,3.57,0.55,1.66,104.38,-3.94,109,上市,,,,,,,,,,,,,
1312,國喬,14.32,467.93,448.12,405.22,66360.55,6.63,55.05,9.36,38.99,2.21,0.49,12.76,14.81,55.14,26.07,4.52,97.42,309.84,6.14,109,上市,,,,,,,,,,,,,
1313,聯成,43.54,243.42,282.71,152.65,1079.14,13.44,27.15,7.53,48.47,3.23,1.16,5.26,9.37,20.13,4.11,1.62,58.23,56.5,6.07,109,上市,,,,,,,,,,,,,
1314,中石化,32.45,414.01,309.65,150.62,146.81,9.93,36.75,1.45,251.72,0.87,0.17,0.85,0.98,0.32,3.84,0.21,-47.32,-8.26,-5.17,109,上市,,,,,,,,,,,,,
1315,達新,6.6,829.47,1486.54,1149.81,1647.27,5.59,65.29,3.00,121.66,1.5,0.19,47.26,52.73,428.08,243.12,31.97,28.93,39.18,0.0,109,上市,,,,,,,,,,,,,
1316,上曜,63.22,682.34,139.06,20.51,-1.92,9.30,39.24,0.19,1921.05,4.56,0.2,2.09,2.55,3.44,5.18,0.2,-1.35,-74.71,-2.19,109,上市,,,,,,,,,,,,,
1319,東陽,37.11,149.92,127.76,80.7,6.83,4.35,83.90,5.29,68.99,0.87,0.48,2.39,3.29,14.96,4.29,1.39,77.43,110.43,8.85,109,上市,,,,,,,,,,,,,
1321,大洋,45.76,317.1,199.65,133.8,21.28,7.93,46.02,7.38,49.45,1.41,0.41,6.16,11.99,17.68,14.36,3.24,43.34,106.47,3.28,109,上市,,,,,,,,,,,,,
1323,永裕,52.84,199.56,396.94,303.78,26.12,4.27,85.48,4.29,85.08,1.65,0.64,6.92,14.27,51.88,10.37,3.2,91.06,78.95,6.34,109,上市,,,,,,,,,,,,,
1324,地球,21.75,265.53,342.95,262.48,484.89,5.19,70.32,4.68,77.99,2.71,0.86,1.33,1.68,3.03,1.55,0.22,52.79,91.66,5.76,109,上市,,,,,,,,,,,,,
1325,恆大,17.37,323.5,450.55,422.78,72327.09,18.07,20.19,8.32,43.87,3.81,1.25,61.9,72.03,296.83,49.66,23.16,332.4,318.64,43.15,109,上市,,,,,,,,,,,,,
1326,台化,25.64,354.95,293.88,236.77,18.07,8.20,44.51,6.02,60.63,1.98,0.47,4.17,5.36,42.26,8.54,3.34,62.91,130.96,4.78,109,上市,,,,,,,,,,,,,
1337,再生-KY,7.78,213.16,607.08,552.35,-69.42,4.56,80.04,6.26,58.30,0.36,0.16,-7.67,-8.64,-9.18,-51.02,-2.39,-64.4,149.37,-3.35,109,上市,,,,,,,,,,,,,
1338,廣華-KY,36.59,219.01,169.18,134.66,12.43,2.88,126.73,4.68,77.99,1.96,0.6,3.08,4.35,49.81,4.66,3.51,13.66,83.45,1.92,109,上市,,,,,,,,,,,,,
1339,昭輝,32.33,147.46,184.66,145.47,9.97,2.85,128.07,4.24,86.08,0.79,0.4,2.49,3.44,24.1,5.64,1.59,59.7,143.18,7.49,109,上市,,,,,,,,,,,,,
1340,勝悅-KY,2.58,391.05,2461.02,2413.66,,2.63,138.78,69.28,5.26,0.47,0.12,-6.67,-6.91,-25.75,-59.38,-2.55,-218.25,,-5.55,109,上市,,,,,,,,,,,,,
1341,富林-KY,42.64,179.63,168.45,94.45,27.40,6.38,57.21,3.45,105.79,3.29,1.25,15.14,25.48,80.29,11.67,6.29,59.53,68.43,9.77,109,上市,,,,,,,,,,,,,
1342,八貫,26.14,223.58,395.37,221.61,67.41,7.37,49.52,2.39,152.71,2.22,0.88,11.44,16.38,36.6,12.81,3.15,110.05,64.08,8.24,109,上市,,,,,,,,,,,,,
1402,遠東新,56.33,255.63,103.94,80.32,6.49,7.70,47.40,6.78,53.83,1.27,0.34,2.67,3.95,30.12,6.28,1.62,38.77,85.59,10.87,109,上市,,,,,,,,,,,,,
1409,新纖,75.76,343.73,101.72,97.96,4.03,1.69,215.97,4.13,88.37,1.52,0.15,1.33,3.98,14.32,6.06,0.62,0.0,206.13,-1.09,109,上市,,,,,,,,,,,,,
1410,南染,17.94,687.88,821.79,783.34,809.70,6.07,60.13,10.43,34.99,2.13,0.3,4.54,5.49,12.84,15.03,0.95,19.77,130.79,1.22,109,上市,,,,,,,,,,,,,
1413,宏洲,61.99,156.86,86.48,24.67,-14.55,10.65,34.27,3.12,116.98,1.33,0.57,-5.49,-14.47,-12.26,-10.39,-1.23,-4.37,38.4,-0.64,109,上市,,,,,,,,,,,,,
1414,東和,29.36,240.85,178.89,95.19,10.58,15.31,23.84,1.14,320.17,0.43,0.16,1.42,1.88,2.84,8.34,0.27,27.19,62.51,2.56,109,上市,,,,,,,,,,,,,
1416,廣豐,49.82,4375.23,171.65,147.63,-6.44,3.81,95.80,0.18,2027.77,0.09,0.02,-4.24,-9.22,-19.85,-168.89,-1.85,3.17,83.05,3.65,109,上市,,,,,,,,,,,,,
1417,嘉裕,18.7,304.4,377.22,307.12,-26542.27,7.96,45.85,0.59,618.64,1.1,0.27,-9.35,-12.4,-18.87,-34.08,-1.85,0.0,0.0,0.0,109,上市,,,,,,,,,,,,,
1418,東華,81.75,242.06,145.58,50.27,-6.18,623.93,0.58,1.37,266.42,0.11,0.04,-8.68,-43.77,-38.93,-227.91,-4.2,-130.54,-324.46,-9.8,109,上市,,,,,,,,,,,,,
1419,新紡,33.08,3124.38,81.88,67.37,15.14,7.95,45.91,2.32,157.32,6.71,0.16,2.92,4.09,13.18,16.96,1.22,4.16,9.38,-1.04,109,上市,,,,,,,,,,,,,
1423,利華,9.96,968.1,2287.34,1091.34,11566.91,*****,*****,0.61,598.36,0.58,0.06,11.97,13.2,29.24,174.63,2.56,-26.61,121.43,-0.87,109,上市,,,,,,,,,,,,,
1432,大魯閣,83.43,177.61,89.02,58.09,1.25,33.93,10.75,0.57,640.35,1.98,0.22,1.34,1.66,2.26,1.37,0.0,39.05,32.57,39.85,109,上市,,,,,,,,,,,,,
