,sid,sid_name,股價,大盤領先指標,產業領先指標,勝率(%)_營收,合理價差(%)_營收,相關性_營收,勝率(%)_EPS,合理價差(%)_EPS,相關性_EPS,勝率(%)_殖利率,合理價差(%)_殖利率,相關性_殖利率,date,耗時(秒),策略_營收,策略_EPS,策略_殖利率
105,1264,德麥,249,中等,極佳,46,-14,中度相關 0.66,42,-15,高度相關 0.76,,,中度相關 0.64,2022-11-21,63,1,1,0
106,8028,昇陽半導體,55.5,中等,極佳,46,-16,高度相關 0.76,,,低度相關 0.01,,,低度相關 0.28,2022-11-21,58,1,0,0
107,8066,來思達,27.05,中等,極佳,,,低度相關 0.21,42,-24,中度相關 0.72,41,-30,中度相關 0.72,2022-11-21,65,0,1,1
108,9933,中鼎,40.15,中等,極佳,,,低度相關 0.1,42,-12,中度相關 0.66,41,-14,中度相關 0.67,2022-11-21,61,0,1,1
109,4919,新唐,118,中等,極佳,48,6,中度相關 0.64,42,-24,中度相關 0.61,,,,2022-11-21,63,0,1,0
110,4968,立積,111,中等,極佳,46,-14,高度相關 0.75,,,,41,-17,中度相關 0.64,2022-11-21,64,0,0,0
111,3661,世芯-KY,890,中等,極佳,46,-25,高度相關 0.81,42,-18,高度相關 0.75,41,-20,中度相關 0.64,2022-11-21,61,1,1,1
112,2481,強茂,60.3,中等,極佳,,,低度相關 0.3,,,,41,-28,,2022-11-21,61,0,0,1
113,4991,環宇-KY,39.65,中等,極佳,46,-19,中度相關 0.6,45,10,,,,,2022-11-21,60,1,0,0
114,1516,川飛,21.3,中等,極佳,,,低度相關 0.41,42,-14,中度相關 0.52,,,,2022-11-21,59,0,1,0
115,2351,順德,100,中等,極佳,46,-20,中度相關 0.74,,,低度相關 0,,,低度相關 0.01,2022-11-21,65,1,0,0
116,5285,界霖,63.8,中等,極佳,46,-26,高度相關 0.79,,,低度相關 0,,,低度相關 0.01,2022-11-21,64,1,0,0
117,1513,中興電,55.7,中等,極佳,48,10,中度相關 0.71,42,-9,中度相關 0.67,41,-11,中度相關 0.69,2022-11-21,66,0,0,0
118,6509,聚和,38.95,中等,佳,40,-21,中度相關 0.6,37,-30,中度相關 0.64,38,-29,中度相關 0.61,2022-11-21,64,0,0,0
119,4966,譜瑞-KY,774,中等,極佳,46,-11,中度相關 0.73,,,低度相關 0.48,,,低度相關 0.43,2022-11-21,68,0,0,0
120,5471,松翰,48.3,中等,極佳,39,90,高度相關 0.76,42,-29,高度相關 0.75,41,-29,高度相關 0.75,2022-11-21,63,0,1,1
121,3426,台興,37.9,中等,極佳,46,-12,低度相關 0.49,50,-8,高度相關 0.86,,,低度相關 0,2022-11-21,60,1,0,0
122,6457,紘康,59.6,中等,極佳,39,72,高度相關 0.79,42,-48,中度相關 0.63,0,0,中度相關 0.56,2022-11-21,61,0,1,0
123,3171,新洲,15.9,中等,極佳,,,低度相關 0.47,42,-11,高度相關 0.81,,,低度相關 0.09,2022-11-21,59,0,1,0
124,3014,聯陽,70,中等,極佳,39,48,高度相關 0.95,42,-23,中度相關 0.63,41,-24,中度相關 0.63,2022-11-21,60,0,1,1
125,8938,明安,99.7,中等,極佳,48,8,高度相關 0.83,42,-11,高度相關 0.79,48,-2,高度相關 0.76,2022-11-21,59,0,1,0
126,2379,瑞昱,325,中等,極佳,46,-25,高度相關 0.82,42,-37,中度相關 0.5,41,-37,中度相關 0.51,2022-11-21,58,1,0,1
127,1584,精剛,17.9,中等,極佳,46,-11,中度相關 0.53,,,,,,,2022-11-21,58,0,0,0
128,5871,中租-KY,186,中等,極佳,46,-25,高度相關 0.84,42,-18,中度相關 0.52,41,-18,中度相關 0.56,2022-11-21,69,1,1,1
129,6415,矽力*-KY,485.5,中等,極佳,46,-27,高度相關 0.75,,,低度相關 0.49,,,低度相關 0.41,2022-11-21,60,1,0,0
130,4401,東隆興,26.25,中等,極佳,,,低度相關 0.13,42,-27,中度相關 0.62,41,-28,中度相關 0.61,2022-11-21,60,0,1,1
131,4549,桓達,84.2,中等,極佳,46,-10,中度相關 0.63,,,低度相關 0.44,,,低度相關 0.41,2022-11-21,59,0,0,0
132,5274,信驊,2145,中等,極佳,46,-19,中度相關 0.72,50,-7,中度相關 0.71,48,-8,高度相關 0.76,2022-11-21,60,1,0,0
133,1256,鮮活果汁-KY,230.5,中等,極佳,46,-16,中度相關 0.68,42,-18,中度相關 0.74,41,-20,中度相關 0.73,2022-11-21,60,1,1,1
134,3035,智原,164,中等,極佳,46,-16,中度相關 0.74,,,低度相關 0.39,,,低度相關 0.35,2022-11-21,61,1,0,0
135,4426,利勤,23.8,中等,極佳,46,-31,中度相關 0.64,,,,46,0,,2022-11-21,67,1,0,0
136,8454,富邦媒,559,中等,極佳,46,-39,中度相關 0.69,42,-31,中度相關 0.52,,,低度相關 0.39,2022-11-21,70,1,1,0
137,4205,中華食,99.5,中等,極佳,46,-27,高度相關 0.82,42,-12,高度相關 0.77,48,-6,高度相關 0.75,2022-11-21,58,1,1,0
138,3556,禾瑞亞,55.3,中等,極佳,39,26,中度相關 0.7,42,-17,中度相關 0.51,41,-18,中度相關 0.55,2022-11-21,59,0,1,1
139,3686,達能,12.5,中等,極佳,46,-28,中度相關 0.59,,,,,,,2022-11-21,59,1,0,0
