sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
5530,龍巖,上櫃,其他,38.59,40.88,40.77,76.01,42.48,45.22,38.84,35.3,38.48,41.19,38.88,21.42,32.2,33.33,26.92,16.18,37.11,43.75,44.66,46.68,41.13,39.91,38.83,38.03,46.76,32.37,55.81,43.34,33.97,33.44,45.05,42.33,38.17,21.76,32.73,35.74,37.48,39.23,15.55,
5604,中連,上櫃,其他,5.51,8.9,10.8,11.36,5.47,6.84,8.48,12.34,8.78,10.67,9.55,13.09,7.53,7.22,6.44,8.22,2.12,1.25,2.94,3.24,0.69,-0.78,0.98,4.64,-1.35,-38.83,68.95,66.88,45.74,57.73,53.65,66.13,64.41,65.6,62.18,68.81,69.28,67.33,67.63,67.59
6803,崑鼎投控,上櫃,其他,21.6,24.54,24.33,17.41,21.37,24.01,23.61,18.14,23.31,24.41,22.67,17.33,51.82,24.74,24.82,21.23,26.39,23.46,23.93,22.54,24.58,24.03,25.02,19.5,22.82,22.38,24.38,18.3,21.92,21.49,23.89,18.47,21.43,22.78,22.58,18.59,21.81,21.86,21.43,16.03
8390,金益鼎,上櫃,其他,0.29,-3.23,-1.56,-4.32,-2.72,2.98,-0.5,-2.96,1.21,0.02,-5.97,-18.08,3.91,0.88,0.82,6.47,2.36,3.53,3.02,5.59,0.98,1.81,-1.87,0.48,4.46,5.14,5.28,8.86,6.15,8.42,13.57,8.21,18.61,14.91,14.01,9.85,18.56,10.66,-0.34,5.49
8420,明揚,上櫃,其他,,8.63,,3.78,8.56,1.92,-14.03,5.96,8.6,12.44,8.08,12.26,9.72,14.09,6.71,8.54,-0.68,2.69,0.12,6.31,-6.48,5.81,6.11,12.01,7.56,10.78,11.63,6.24,2.24,-15.26,10.99,11.73,6.18,10.97,13.53,12.61,13.26,17.79,15.55,25.27
8924,大田,上櫃,其他,-3.39,-10.97,-6.41,5.57,4.73,-18.99,-3.4,7.49,2.35,-21.85,-3.92,2.16,-14.89,-8.21,1.32,7.96,-7.6,-17.28,18.04,9.36,3.36,2.17,8.17,3.83,11.45,18.17,9.37,9.8,10.56,20.16,20.81,16.21,24.26,25.82,27.06,23.83,19.65,25.36,17.27,27.78
8928,鉅明,上櫃,其他,-19.88,3.11,7.86,12.61,13.47,15.49,-16.2,11.57,18.15,3.86,0.39,12.5,13.82,1.11,-6.27,4.75,9.32,2.64,7.46,6.88,10.91,9.5,-13.21,2.82,12.28,7.94,-0.1,7.19,7.25,4.52,6.92,6.95,10.66,11.66,6.84,11.04,11.17,8.17,3.05,6.69
8938,明安,上櫃,其他,2.33,-4.92,-7.93,2.62,2.39,-4.61,-11.6,4.65,2.52,-8.47,-3.25,7.8,5.5,-2.09,3.64,9.88,7.62,4.99,4.61,8.93,5.52,4.2,3.72,9.96,9.23,6.9,4.64,10.22,5.01,1.37,13.85,12.96,11.1,12.89,9.15,12.41,11.32,12.45,12.1,16.39
6509,聚和,上櫃,化學工業,5.5,6.84,7.33,-1.06,1.95,4.81,3.77,3.32,6.26,8.68,6.66,7.07,9.61,5.75,3.1,5.01,5.01,5.83,4.26,5.17,6.05,4.46,8.62,4.22,6.34,9.55,8.16,6.64,12.17,11.59,11.96,7.05,16.08,12.91,10.09,8.69,11.28,12.88,15.5,14.38
3141,晶宏,上櫃,半導體業,6.13,2.8,12.97,1.72,3.16,12.07,11.06,7.8,10.68,7.68,5.05,5.85,16.31,19.29,11.65,2.58,6.57,11.69,15.77,9.79,7.49,13.53,20.66,10.12,9.45,7.33,9.85,5.77,8.54,6.38,10.38,14.9,15.78,23.46,36.64,36.73,32.16,31.44,18.72,-36.77
3169,亞信,上櫃,半導體業,14.27,20.23,18.04,18.28,8.82,14.21,15.01,13.38,7.78,6.49,13.41,16.05,10.13,10.38,13.35,11.91,15.59,20.49,17.81,17.11,14.83,15.43,20.83,24.66,22.28,22.23,21.89,24.43,17.94,24.76,28.26,28.83,30.45,28.58,37.83,38.64,36.93,35.69,34.67,35.23
3260,威剛,上櫃,半導體業,10.53,14.29,1.49,1.65,1.38,0.27,0.67,-4.19,-2.18,-3.15,-0.44,-2.76,-1.95,-1.47,6.92,12.18,10.29,3.87,4.15,4.76,-1.71,-2.6,0.45,-6.81,0.57,-3.85,5.85,-1.29,12.55,4.44,3.77,3.64,7.93,9.71,3.86,1.88,5.36,1.81,2.05,-2.13
3264,欣銓,上櫃,半導體業,13.6,20.29,22.66,22.25,14.51,22.92,24.45,23.47,23.48,19.12,20.79,13.24,10.5,19.16,21.22,16.07,17.45,17.6,23.24,23.3,18.71,20.95,25.12,21.71,13.0,19.62,21.56,22.91,19.53,23.74,23.3,24.86,22.44,25.57,28.66,25.47,25.23,30.3,32.96,30.6
