sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
2458,義隆,上市,半導體業,18.54,9.68,23.42,18.92,23.21,8.34,10.55,19.02,13.05,10.47,3.2,3.18,15.43,2.32,-4.77,34.07,10.24,6.05,17.14,19.66,5.25,10.71,10.14,23.49,13.39,3.17,2.36,26.76,15.6,6.79,19.07,26.45,24.69,13.64,15.29,28.87,11.94,1.35,4.21,-9.3
2481,強茂,上市,半導體業,1.97,-1.02,4.66,2.82,5.89,5.37,0.87,-1.19,1.51,5.1,0.5,5.82,3.37,4.95,5.43,7.02,6.81,2.54,0.74,7.87,-1.53,4.28,2.5,12.84,3.52,3.8,2.46,-1.68,2.22,5.85,1.91,7.58,-4.49,10.28,7.91,-6.61,-7.15,5.01,7.08,7.8
3014,聯陽,上市,半導體業,7.6,3.84,12.05,14.27,22.94,8.65,8.34,4.17,-11.71,-2.74,51.57,-0.14,11.35,-3.47,47.29,0.86,21.93,-1.5,51.68,4.11,23.19,20.59,2.23,2.12,-3.87,12.95,40.26,24.58,5.87,-26.36,13.97,23.91,13.2,6.55,16.1,12.14,6.38,-3.76,85.73,16.92
3016,嘉晶,上市,半導體業,14.95,3.25,5.71,13.94,6.49,85.86,-1.97,5.41,31.9,44.26,-110.86,21.46,17.24,2.12,21.4,29.56,-8.55,16.37,10.9,-0.78,12.64,9.09,9.56,4.53,3.78,-3.36,0.11,17.46,3.77,4.64,2.31,14.12,4.13,6.02,8.53,14.54,14.41,7.31,2.26,19.94
3035,智原,上市,半導體業,15.11,11.85,27.34,48.59,17.99,-4.9,-2.63,48.69,23.7,-3.07,8.9,12.45,-4.67,-4.08,4.19,22.37,23.82,17.98,19.29,10.97,18.76,-0.7,-1.65,3.28,10.55,6.83,-2.23,20.27,5.45,7.19,5.79,15.37,29.45,4.9,25.19,21.84,20.05,-5.75,14.8,-6.66
3189,景碩,上市,半導體業,16.75,9.53,15.83,13.18,12.06,14.03,14.62,20.37,11.85,8.25,21.95,19.08,11.91,14.0,8.68,17.28,22.12,14.98,1.92,14.97,6.57,5.25,8.61,10.95,9.24,-1.32,2.1,13.77,7.85,10.99,6.5,15.66,8.85,9.05,19.16,12.27,7.68,10.16,13.15,20.3
3443,創意,上市,半導體業,33.07,8.42,-20.92,9.57,32.52,16.12,35.8,1.59,20.88,-6.13,19.69,17.17,13.57,-1.18,11.53,32.12,-12.94,-1.5,39.01,17.51,-3.71,14.59,1.64,-13.27,-5.77,-2.13,16.32,-6.9,5.79,28.72,-3.5,34.34,18.38,24.91,-0.9,14.42,0.21,3.69,3.9,5.88
3450,聯鈞,上市,半導體業,-0.01,25.34,15.92,11.21,18.78,20.76,17.66,28.24,21.33,18.66,18.75,23.44,22.39,15.68,6.27,25.87,12.33,9.45,8.41,26.88,22.48,10.51,17.99,15.6,7.02,6.94,14.73,15.04,4.1,15.96,6.58,19.38,10.06,13.15,4.56,7.93,10.38,2.02,15.56,11.8
3545,敦泰,上市,半導體業,-8.05,-12.85,-8.4,0.14,11.52,-5.14,4.95,6.45,-6.27,12.93,4.54,3.58,10.68,-1.17,-5.91,28.15,-26.28,-9.56,15.47,4.63,11.79,14.09,8.68,-14.99,-18.16,-1.25,27.79,0.31,-11.75,-17.17,17.9,21.69,14.78,21.19,26.51,4.7,0.81,-19.76,-10.35,2.75
3661,世芯-KY,上市,半導體業,,38.94,,150.34,45.7,58.48,-4.89,40.68,43.0,-16.25,8.02,30.7,40.01,-12.02,36.69,18.21,66.01,38.84,-22.55,128.1,18.07,91.9,24.95,-17.37,-32.62,66.62,31.93,33.1,34.57,33.92,27.89,20.13,3.55,0.3,4.43,-0.33,0.7,13.53,-10.15,-4.03
