上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/29
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"4741","泓瀚","16.16","1.40000000","111","5.16","0.98"
"4743","合一","290.86","1.50000000","111","0.55","7.22"
"4744","皇將","25.20","1.00000000","111","3.20","1.48"
"4745","合富-KY","21.64","1.60000000","111","6.06","0.72"
"4747","強生","24.17","2.00000000","111","3.83","1.80"
"4754","國碳科","18.58","1.80000000","111","4.66","2.44"
"4760","勤凱","19.87","2.20000000","111","3.59","2.49"
"4767","誠泰科技","12.50","1.30000000","111","4.81","0.98"
"4768","晶呈科技","29.67","5.00000000","111","2.81","5.70"
"4804","大略-KY","N/A","0.00000000","110","0.00","1.16"
"4806","昇華","N/A","0.00000000","110","0.00","2.12"
"4903","聯光通","N/A","0.00000000","111","0.00","2.37"
"4905","台聯電","N/A","1.20000000","111","2.35","0.56"
"4907","富宇","300.00","1.20000000","111","4.00","1.91"
"4908","前鼎","9.15","1.80000000","110","5.67","1.51"
"4909","新復興","N/A","0.00000000","111","0.00","0.67"
"4911","德英","464.62","0.00000000","111","0.00","4.87"
"4923","力士","9.74","5.00000000","111","7.94","2.14"
"4924","欣厚-KY","11.27","0.00000000","111","0.00","1.28"
"4931","新盛力","15.76","2.20000000","111","4.72","2.74"
"4933","友輝","9.74","2.91750000","111","8.35","0.85"
"4939","亞電","46.57","0.48000000","111","2.94","1.04"
"4944","兆遠","N/A","0.00000000","111","0.00","11.36"
"4945","陞達科技","16.37","2.70000000","111","5.50","2.18"
"4946","辣椒","N/A","0.00000000","111","0.00","7.84"
"4950","牧東","N/A","0.00000000","111","0.00","2.33"
"4951","精拓科","11.91","3.50000000","111","6.16","2.31"
"4953","緯軟","13.93","5.00000000","111","4.31","2.76"
"4966","譜瑞-KY","16.46","30.59115352","111","3.03","4.49"
"4971","IET-KY","15.90","2.00000000","111","2.90","1.47"
"4972","湯石照明","21.85","1.62000000","111","5.49","1.01"
"4973","廣穎","9.76","2.00000000","111","7.09","0.92"
"4974","亞泰","8.72","5.80000000","111","8.33","1.65"
"4979","華星光","24.93","0.05930000","111","0.12","4.77"
"4987","科誠","10.75","4.50000000","111","7.46","1.85"
"4991","環宇-KY","N/A","0.00000000","111","0.00","1.07"
"4995","晶達","10.78","4.20000000","111","7.76","2.36"
"5009","榮剛","11.46","1.40000000","110","2.70","2.17"
"5011","久陽","9.09","2.00000000","111","7.29","1.17"
"5013","強新","8.93","1.60000000","111","4.41","1.36"
"5014","建錩","8.38","1.20000000","110","7.02","1.00"
"5015","華祺","5.99","5.60000000","111","9.88","2.13"
"5016","松和","14.95","1.40000000","111","4.64","1.02"
"5201","凱衛","48.30","0.45000000","111","1.66","2.29"
"5202","力新","N/A","0.00000000","111","0.00","1.36"
"5205","中茂","36.13","0.00000000","111","0.00","5.41"
"5206","坤悅","N/A","0.48000000","110","2.70","1.00"
"5209","新鼎","12.13","7.55823355","111","7.10","4.24"
"5210","寶碩","40.12","0.00000000","111","0.00","1.98"
"5211","蒙恬","31.91","0.75000000","111","2.50","1.67"
"5212","凌網","17.75","2.60000000","111","5.23","3.42"
"5213","亞昕","37.09","1.77492000","110","7.14","1.22"
"5220","萬達光電","10.66","1.80000000","111","5.86","1.45"
"5223","安力-KY","9.22","2.00000000","111","4.93","0.88"
"5227","立凱-KY","N/A","0.00000000","111","0.00","6.36"
"5228","鈺鎧","16.63","0.30000000","111","1.31","1.28"
"5230","雷笛克光學","N/A","0.80000000","111","3.51","0.93"
"5236","凌陽創新","13.68","7.00000000","111","7.85","2.11"
"5245","智晶","12.25","2.50000000","111","4.99","1.78"
"5251","天鉞電","N/A","0.00000000","111","0.00","1.76"
"5263","智崴","N/A","1.50000000","111","1.20","2.46"
"5272","笙科","35.97","0.70550931","111","2.23","1.60"
"5274","信驊","48.64","45.00000000","111","1.66","22.84"
"5276","達輝-KY","20.81","0.60000000","111","3.90","1.10"
"5278","尚凡","16.28","10.79983690","111","5.98","8.99"
"5281","大峽谷-KY","N/A","0.00000000","111","0.00","0.97"
"5287","數字","15.21","5.50000000","111","2.75","5.81"
"5289","宜鼎","13.70","14.00000000","111","4.76","3.63"
"5291","邑昇","8.00","2.70000000","111","7.64","1.35"
"5299","杰力","8.21","8.40000000","111","6.44","2.59"
"5301","寶得利","N/A","0.00000000","111","0.00","2.47"
"5302","太欣","N/A","0.00000000","111","0.00","1.07"
"5309","系統電","20.05","0.00000000","111","0.00","3.71"
"5310","天剛","N/A","0.00000000","111","0.00","4.34"
"5312","寶島科","22.79","4.30000000","111","6.67","1.49"
"5314","世紀","N/A","0.00000000","111","0.00","2.29"
"5315","光聯","9.64","1.80000000","111","7.84","1.53"
"5321","美而快","18.80","3.00000000","111","3.47","5.02"
"5324","士開","N/A","0.00000000","111","0.00","1.38"
"5328","華容","26.63","0.00000000","111","0.00","1.16"
"5340","建榮","110.93","0.00000000","111","0.00","4.85"
"5344","立衛","N/A","0.00000000","111","0.00","2.72"
"5345","天揚","N/A","0.00000000","111","0.00","5.57"
"5347","世界","10.30","4.50000000","111","4.69","3.47"
"5348","系通","79.08","0.00000000","111","0.00","1.98"
"5351","鈺創","90.60","1.29694419","110","2.86","3.08"
"5353","台林","25.03","1.20000000","111","2.65","2.80"
"5355","佳總","N/A","0.00000000","111","0.00","0.95"
"5356","協益","N/A","1.30000000","110","6.05","0.53"
"5364","力麗店","127.38","0.00000000","111","0.00","2.39"
"5371","中光電","11.31","4.50000000","111","6.60","1.17"
"5381","合正","133.50","0.00000000","110","0.00","2.96"
"5383","金利","141.50","0.00000000","111","0.00","3.53"
"5386","青雲","20.39","1.00000000","111","2.58","2.27"
"5392","能率","N/A","0.30178445","110","1.41","0.64"
"5398","慕康生醫","N/A","0.00000000","111","0.00","1.51"
"5403","中菲","12.42","5.00000000","111","5.87","3.07"
"5410","國眾","10.71","2.50000000","111","7.20","2.13"
"5425","台半","16.08","4.00000000","111","3.96","3.12"
"5426","振發","11.15","0.20000000","111","1.59","0.87"
"5432","新門","14.22","1.00000000","111","3.66","1.50"
"5438","東友","22.84","0.51000000","111","2.76","1.00"
"5439","高技","16.51","3.30000000","111","5.02","2.58"
"5443","均豪","12.03","1.80000000","111","6.21","1.79"
"5450","南良","11.82","0.60000000","110","2.50","1.79"
"5452","佶優","32.62","0.80000000","110","3.89","1.47"
"5455","昇益","29.73","0.00000000","111","0.00","2.98"
"5457","宣德","10.11","1.84000000","111","3.34","2.25"
"5460","同協","N/A","0.00000000","111","0.00","0.91"
"5464","霖宏","7.26","2.00000000","111","6.80","1.46"
"5465","富驊","13.07","1.50000000","111","5.68","1.69"
"5468","凱鈺","N/A","0.00000000","111","0.00","1.84"
"5474","聰泰","11.77","3.80000000","111","4.08","2.10"
"5475","德宏","N/A","0.00000000","111","0.00","1.81"
"5478","智冠","13.32","7.00000000","111","7.62","1.64"
"5481","新華","N/A","0.00000000","111","0.00","0.65"
"5483","中美晶","10.32","8.00000000","110","5.21","2.82"
"5487","通泰","N/A","0.00000000","111","0.00","1.07"
"5488","松普","55.00","0.00000000","110","0.00","1.13"
"5489","彩富","13.06","1.50000000","111","3.97","1.63"
"5490","同亨","N/A","0.00000000","111","0.00","1.79"
"5493","三聯","12.94","3.10000000","110","5.68","1.65"
"5498","凱崴","N/A","0.21500000","111","1.99","1.07"
"5508","永信建","8.57","6.34540000","111","10.51","2.27"
"5511","德昌","6.95","2.40000000","111","7.23","0.77"
"5512","力麒","165.83","0.30000000","110","3.02","0.56"
"5514","三豐","N/A","0.00000000","111","0.00","1.39"
"5516","雙喜","8.16","1.50000000","111","6.49","1.27"
"5520","力泰","9.68","3.95000000","111","6.86","1.59"
"5523","豐謙","8.20","1.50000000","111","6.04","1.37"
"5529","鉅陞","N/A","0.00000000","111","0.00","1.67"
"5530","龍巖","11.29","1.20000000","110","3.05","0.84"
"5536","聖暉*","7.84","11.92416199","111","9.03","2.04"
"5543","桓鼎-KY","86.07","0.80000000","111","1.52","2.65"
"5601","台聯櫃","96.59","0.48000000","111","1.13","1.99"
"5603","陸海","11.16","1.00000000","111","4.74","1.27"
"5604","中連","58.24","2.00000000","111","4.04","2.31"
"5609","中菲行","4.58","11.20000000","111","13.08","1.90"
